full_name,sha,success
# Source: paper appendix tables/benchmark.tex (420 rows). Short SHAs expanded via GitHub API.
271374667/VideoFusion,9ba7b8b301481ed148bc4d853a5efe8bbb7188b5,Yes
6abd/horus,c1d093e2090fc3817c924fc3ebae8c483744b7c5,Yes
a-r-r-o-w/cogvideox-factory,80d1150a0e233a1b2b98dd0367c06276989d049c,Yes
a-s-g93/neo4j-runway,16b44177d434465f7fbeef59273444c963343726,Yes
Aaditya-Prasad/consistency-policy,eed0c465d3c1aa6dcf22f10e784df07dec06beac,No
AARG-FAN/Yolo_for_Wukong,07f61a05cc0380239e4a2ace0bdfb7d6dbca526d,No
adamobeng/wddbfs,5c68aabf647c313df7eb8c0371a5f9c3e88f7c03,Yes
Adibvafa/CodonTransformer,2842ef05444d6901cb4034aab1b3153db3ee4926,Yes
AdityaNG/kan-gpt,0c6e4c2582d9a0e23c612c3b695846d4caceac1c,Yes
Admyral-Security/admyral,de332e2dd7d1deb536d859b7ad7bf74f64ab7e93,Yes
AgentOps-AI/AgentStack,ff9c6ae407444de494e3e421461b2bc41254486b,Yes
aidatatools/ollama-benchmark,c6a5fded472370f35a158258e79f06d36313ffb1,Yes
AIR-Bench/AIR-Bench,4b27b8a8f2047a963805fcf6fb9d74be51ec440c,Yes
airbytehq/PyAirbyte,7e65ab3cfab39c04e6f0ece7cbc83367b7acb4a9,Yes
airtai/fastagency,1ff50361fff7665bd9c229a90aa1541ff243f667,Yes
Akkudoktor-EOS/EOS,fff685aad9436e0b5bd68244685392b9d82ced46,Yes
alexmolas/microsearch,632ff20749f30b972df84a4ef544b751a18155d5,Yes
alexwlchan/safari-webarchiver,0e4974d4af6ab28da9178b02f4a5067855ddf91d,Yes
AlibabaPAI/llumnix,b319b23a197cc25e5e9a740c574c46be17fe9743,Yes
All-Hands-AI/OpenHands,246107c618833fcf62e44f2ea67aa08c222906cb,Yes
alvin-r/databonsai,3f2b7c58d0aa172251b5c3c321dea93038853e32,Yes
amchii/tg-signer,926dbb8d58a40a44e75e5f0543fef68c4b833b44,Yes
andrewyng/aisuite,763996153e3c6068465bd73a367a20f6ca79cefc,Yes
andrewyng/translation-agent,e0fc605acbb5d78cb7a58a98bc8bd8f0056df49c,Yes
AnswerDotAI/byaldi,4583c0732fac06cca5624c53a539a7785d226ce8,Yes
AnswerDotAI/rerankers,ecd1f62949ec8aaffedeaaa89928e702dce2d148,Yes
antgroup/agentUniverse,ed8f55b52b65f8da539f87593e5448258658038a,Yes
apapiu/transformer_latent_diffusion,84a75efb9eebcaeaf5dafb94b1b21d72b7883bd8,Yes
apify/crawlee-python,26706353843d0db739bc1045963a3e425c2168e5,Yes
apple/ml-cross-entropy,1f3ebdb20653a26598a2722acd21e9b1528608c3,Yes
apple/ml-mdm,9a5632cffc74a7c72075611fb99aca9816291db1,Yes
apple/ToolSandbox,1a1dc83bd84948f0a3d3ace0e59923fc760c111b,Yes
arcee-ai/fastmlx,fd37bc8f8400ce98baf601dcc9b66e14f2618382,Yes
argmaxinc/whisperkittools,03898fd293c694fc7a4c3c75d08b65d480ce2381,Yes
arvindrajan92/DTrOCR,a10aa009efae6336372bf3cb0c87cdc303cddf74,Yes
astramind-ai/Auralis,c357a1e5cb0aa816f7e63b1697957b8821f10bd3,Yes
atonderski/neuro-ncap,ecdcf284e2b7b83c537f3292a06c0adddff55811,Yes
aurelio-labs/semantic-chunkers,04acc232db6e3db6aa70eb9cfa7013a98fe46668,Yes
AuvaLab/itext2kg,941a1d1273831ca2e84930e6e5d8eb1117448f52,Yes
awslabs/agent-evaluation,3df69508f44cd77a7714be1649fe3dfe0d000ae2,Yes
Azure-Samples/rag-postgres-openai-python,61bde71a40ae76baa1445129a709d972f126f205,Yes
Azure/co-op-translator,a4709e4ad3ca224f3b319d62b2c8e63cd5b30e34,Yes
bananaml/fructose,5f24ec0f773170d5f55fe520fa7436f69b1a4f65,Yes
basf/mamba-tabular,af1ea08a608cfbe945d33a22be4e2c63cbab311c,Yes
basf/MolPipeline,2f9baee03f82408991362f0719ff22ff9e4e2524,Yes
beatzxbt/mm-toolbox,728e35dba7f13e5f9f349a4c7851faca98fff4ec,Yes
bellingcat/ShadowFinder,578d5ac6d14341d04be35fc3c3665dc9b5e7e665,Yes
Benexl/FastAnime,677f4690fab4651163d0330786672cf1ba1351bf,Yes
betaacid/FastAPI-Reference-App,8caecad9d944a532a6e30bd9435bca9e978bd83c,Yes
bigcode-project/bigcodebench,aa634d5d4a067c979582ba6f28e2bcb588fd4246,Yes
Bl3f/yato,4906b06acee3b3eebaea3aa5b3229c7326a0eb53,Yes
Blealtan/efficient-kan,7b6ce1c87f18c8bc90c208f6b494042344216b11,Yes
block/goose,c497a5555848d053dd8b486bce1371ba6d01d06c,Yes
BMPixel/moffee,0e643d92cc1324fc7c8a924ee808e374fc662a1b,Yes
boheumd/MA-LMM,ffe9fa9e89757e4433012029f19286c3c280ab1d,Yes
bytewiz3/TravelGPT,b19b43095fd0343d7a0d045f59ec869c8b1fda33,Yes
CausalLearning/ReAct,7d3665845ae2551421c6ddb21e056a035650e3ca,No
cfahlgren1/observers,d46fdbfbb185f612de1a86f18c2941c6d79d38a6,Yes
chaidiscovery/chai-lab,b6e7fa1a9135acc2ce6f4a5dfdd6fe435a3b216f,Yes
character-ai/prompt-poet,4664320754eb7789f69820ce6bd8108279524a44,Yes
cheahjs/palworld-save-tools,7dc2c72a5d15948ca5f52e000981e18b3404e3b9,Yes
chernyadev/bigym,72d305437d5a13800ea633479a1060619fc14e54,Yes
chrschy/fact-finder,ca57d1b9e3683d026ae52c3662b016781d26cc97,Yes
circlemind-ai/fast-graphrag,447511679aeb68d06558b63ba8c434e56caaefce,Yes
cloudflare/cloudflare-python,22847982359f4a7d0170e69e686049e53714131e,Yes
codefuse-ai/CodeFuse-muAgent,e9392401cf85ab319ea1d47dce3b674b29dd1714,No
